SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION
"Harvard/MIT MD-PhD Interview Day","2016-11-01","2016-11-02",,"","","","","",,,,,
"Sidney Kimmel Medical College at Thomas Jefferson University MD-PhD Program","2016-11-01","2016-11-03",,"","","Thomas Jefferson University MD-PhD Program","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2016-11-02","2016-11-04",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2016-11-02","2016-11-03",,"","","","","",,,,,
"U Alabama at Birmingham MD-PhD Interview Day","2016-11-02","2016-11-06",,"","","Birmingham MD-PhD Interview Day","","",,,,,
"University of Louisville MD-PhD Program Interview Day","2016-11-02","2016-11-04",,"","","","","",,,,,
"Northwestern MD-PhD Interview Day","2016-11-02","2016-11-04",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2016-11-03","2016-11-06",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2016-11-03","2016-11-04",,"","","","","",,,,,
"Iowa MD-PhD Interview Day","2016-11-03","2016-11-06",,"","","","","",,,,,
"U Utah MD-PhD Interview Days","2016-11-03","2016-11-06",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2016-11-03","2016-11-05",,"","","","","",,,,,
"Nebraska MD-PhD Interview Day","2016-11-03","2016-11-05",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2016-11-03","2016-11-05",,"","","","","",,,,,
"Pittsburgh & Carnegie Mellon U MD-PhD Interview Day","2016-11-03","2016-11-04",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School - Princeton University MD-PhD Interview Day","2016-11-03","2016-11-05",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2016-11-03","2016-11-05",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2016-11-04","2016-11-05",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2016-11-04","2016-11-05",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2016-11-04","2016-11-05",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2016-11-04","2016-11-05",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Interview Day","2016-11-07","2016-11-08",,"","","","","",,,,,
"Penn State MD-PhD Interview Day","2016-11-07","2016-11-08",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2016-11-07","2016-11-09",,"","","","","",,,,,
"UC Irvine MD-PhD Program Interview Day","2016-11-07","2016-11-08",,"","","","","",,,,,
"Pittsburgh & Carnegie Mellon U MD-PhD Interview Day","2016-11-07","2016-11-08",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2016-11-09","2016-11-11",,"","","","","",,,,,
"Texas A&M MD-PhD Interview Day","2016-11-09","2016-11-10",,"","","","","",,,,,
"Stanford MD-PhD Interview Day","2016-11-09","2016-11-11",,"","","","","",,,,,
"Indiana U MD-PhD Interview Day","2016-11-09","2016-11-10",,"","","","","",,,,,
"U Texas HSC & MD Anderson MD-PhD Program Interview Day","2016-11-10","2016-11-11",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Interview Day","2016-11-10","2016-11-13",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2016-11-10","2016-11-12",,"","","","","",,,,,
"UCLA MD-PhD Interview Day","2016-11-10","2016-11-11",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2016-11-11","2016-11-12",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2016-11-11","2016-11-12",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Day","2016-11-14","2016-11-16",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2016-11-15","2016-11-17",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2016-11-15","2016-11-16",,"","","","","",,,,,
"SUNY Upstate Medical University MD-PhD Program Interview Day","2016-11-16","2016-11-19",,"","","","","",,,,,
"Texas A&M MD-PhD Interview Day","2016-11-16","2016-11-17",,"","","","","",,,,,
"U Chicago MD-PhD Interview Day","2016-11-16","2016-11-17",,"","","","","",,,,,
"Indiana U MD-PhD Interview Day","2016-11-16","2016-11-17",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2016-11-16","2016-11-17",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2016-11-16","2016-11-18",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2016-11-17","2016-11-19",,"","","","","",,,,,
"U Penn MD-PhD Program Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"U Michigan MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Tri-Institutional MD-PhD Program's Interview Day","2016-11-17","2016-11-18",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"Nebraska MD-PhD Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"UTMB MD-PhD Program Interview Day","2016-11-17","2016-11-19",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2016-11-17","2016-11-18",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days","2016-11-17","2016-11-19",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2016-11-18","2016-11-19",,"","","","","",,,,,
"Medical University South Carolina MD-PhD Interview Day","2016-11-18","2016-11-19",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2016-11-18","2016-11-19",,"","","","","",,,,,
"U Cincinnati, College of Medicine Interview Day","2016-11-18","2016-11-20",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2016-11-18","2016-11-19",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2016-11-18","2016-11-19",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2016-11-18","2016-11-19",,"","","","","",,,,,
"Pittsburgh & Carnegie Mellon U MD-PhD Interview Day","2016-11-21","2016-11-22",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Day","2016-11-21","2016-11-23",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2016-11-29","2016-11-30",,"","","","","",,,,,
"Columbia MD-PhD Program Interview Day","2016-11-29","2016-11-30",,"","","","","",,,,,
"Texas A&M MD-PhD Interview Day","2016-11-30","2016-12-01",,"","","","","",,,,,
"U Alabama at Birmingham MD-PhD Interview Day","2016-11-30","2016-12-03",,"","","Birmingham MD-PhD Interview Day","","",,,,,
"Stony Brook MD-PhD Interview Day","2016-11-30","2016-12-01",,"","","","","",,,,,
"Nebraska MD-PhD Interview Day","2016-12-01","2016-12-03",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days","2016-12-01","2016-12-03",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Interview Day","2016-12-01","2016-12-04",,"","","","","",,,,,
"Pittsburgh & Carnegie Mellon U MD-PhD Interview Day","2016-12-01","2016-12-02",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2016-12-01","2016-12-03",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2016-12-01","2016-12-04",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2016-12-01","2016-12-02",,"","","","","",,,,,
"U Mass MD-PhD Interview Day","2016-12-01","2016-12-03",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2016-12-01","2016-12-03",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2016-12-01","2016-12-03",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2016-12-02","2016-12-03",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2016-12-02","2016-12-03",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2016-12-02","2016-12-03",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2016-12-02","2016-12-03",,"","","","","",,,,,
"SUNY Upstate Medical University MD-PhD Program Interview Day","2016-12-04","2016-12-07",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School - Princeton University MD-PhD Interview Day","2016-12-04","2016-12-06",,"","","","","",,,,,
"Pittsburgh & Carnegie Mellon U MD-PhD Interview Day","2016-12-05","2016-12-06",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Interview Day","2016-12-05","2016-12-06",,"","","","","",,,,,
"U Maryland MD-PhD Program Interview Days","2016-12-05","2016-12-07",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2016-12-06","2016-12-07",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2016-12-06","2016-12-08",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2016-12-07","2016-12-08",,"","","","","",,,,,
"Northwestern MD-PhD Interview Day","2016-12-07","2016-12-09",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2016-12-07","2016-12-08",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2016-12-07","2016-12-08",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2016-12-07","2016-12-09",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2016-12-07","2016-12-09",,"","","","","",,,,,
"Texas A&M MD-PhD Interview Day","2016-12-07","2016-12-08",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2016-12-08","2016-12-10",,"","","","","",,,,,
"University of Southern California MD-PhD Program Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"U Michigan MD-PhD Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2016-12-08","2016-12-09",,"","","","","",,,,,
"UCLA MD-PhD Interview Day","2016-12-08","2016-12-09",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"U California, Davis MD-PhD Interview Day","2016-12-08","2016-12-09",,"","","","","",,,,,
"University of Wisconsin, Madison Interview Day","2016-12-08","2016-12-11",,"","","","","",,,,,
"U Colorado MD-PhD Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"U Penn MD-PhD Program Interview Day","2016-12-08","2016-12-10",,"","","","","",,,,,
"U Texas HSC & MD Anderson MD-PhD Program Interview Day","2016-12-08","2016-12-09",,"","","","","",,,,,
"U Utah MD-PhD Interview Days","2016-12-08","2016-12-11",,"","","","","",,,,,
"U Cincinnati, College of Medicine Interview Day","2016-12-09","2016-12-11",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2016-12-09","2016-12-10",,"","","","","",,,,,
"Medical University South Carolina MD-PhD Interview Day","2016-12-09","2016-12-10",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2016-12-09","2016-12-10",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2016-12-09","2016-12-10",,"","","","","",,,,,
"Stanford MD-PhD Interview Day","2016-12-09","2016-12-11",,"","","","","",,,,,
"UC Irvine MD-PhD Program Interview Day","2016-12-12","2016-12-13",,"","","","","",,,,,
"University North Carolina, Chapel Hill MD-PhD Interview Day","2016-12-12","2016-12-14",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Day","2016-12-12","2016-12-14",,"","","","","",,,,,
"Penn State MD-PhD Interview Day","2016-12-12","2016-12-13",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2016-12-12","2016-12-14",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2016-12-14","2016-12-16",,"","","","","",,,,,
"Columbia MD-PhD Program Interview Day","2016-12-14","2016-12-15",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2016-12-14","2016-12-15",,"","","","","",,,,,
"University of Louisville MD-PhD Program Interview Day","2016-12-14","2016-12-16",,"","","","","",,,,,
"West Virginia MD-PhD Program Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"Iowa MD-PhD Interview Day","2016-12-15","2016-12-18",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2016-12-15","2016-12-17",,"","","","","",,,,,
"Nebraska MD-PhD Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2016-12-15","2016-12-18",,"","","","","",,,,,
"U Penn MD-PhD Program Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"U Colorado MD-PhD Interview Day","2016-12-15","2016-12-17",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2016-12-16","2016-12-17",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2016-12-16","2016-12-17",,"","","","","",,,,,
"Medical University South Carolina MD-PhD Interview Day","2016-12-16","2016-12-17",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2016-12-16","2016-12-17",,"","","","","",,,,,
"Indiana U MD-PhD Interview Day","2017-01-04","2017-01-05",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2017-01-05","2017-01-07",,"","","","","",,,,,
"U Mass MD-PhD Interview Day","2017-01-05","2017-01-07",,"","","","","",,,,,
"U Colorado MD-PhD Interview Day","2017-01-05","2017-01-07",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Interview Day","2017-01-05","2017-01-08",,"","","","","",,,,,
"U Washington MD-PhD Program Interview Day","2017-01-05","2017-01-07",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2017-01-05","2017-01-06",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Day","2017-01-06","2017-01-08",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2017-01-06","2017-01-07",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2017-01-06","2017-01-07",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2017-01-06","2017-01-07",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2017-01-07","2017-01-08",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Interview Day","2017-01-09","2017-01-10",,"","","","","",,,,,
"U Maryland MD-PhD Program Interview Days","2017-01-09","2017-01-11",,"","","","","",,,,,
"Saint Louis University MD-PhD Interview Day","2017-01-09","2017-01-10",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2017-01-09","2017-01-11",,"","","","","",,,,,
"Sidney Kimmel Medical College at Thomas Jefferson University MD-PhD Program","2017-01-10","2017-01-12",,"","","Thomas Jefferson University MD-PhD Program","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2017-01-10","2017-01-11",,"","","","","",,,,,
"Columbia MD-PhD Program Interview Day","2017-01-10","2017-01-11",,"","","","","",,,,,
"U Alabama at Birmingham MD-PhD Interview Day","2017-01-11","2017-01-14",,"","","Birmingham MD-PhD Interview Day","","",,,,,
"Columbia MD-PhD Program Interview Day","2017-01-11","2017-01-12",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2017-01-11","2017-01-13",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2017-01-11","2017-01-12",,"","","","","",,,,,
"Indiana U MD-PhD Interview Day","2017-01-11","2017-01-12",,"","","","","",,,,,
"U California, San Diego MD-PhD Interview Day","2017-01-11","2017-01-12",,"","","","","",,,,,
"U Texas HSC & MD Anderson MD-PhD Program Interview Day","2017-01-12","2017-01-13",,"","","","","",,,,,
"U Kansas MD-PhD Interview Days","2017-01-12","2017-01-14",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days (MSTP General & Bioengineering)","2017-01-12","2017-01-14",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2017-01-12","2017-01-14",,"","","","","",,,,,
"UCLA MD-PhD Interview Day","2017-01-12","2017-01-13",,"","","","","",,,,,
"U Michigan MD-PhD Interview Day","2017-01-12","2017-01-14",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2017-01-12","2017-01-14",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2017-01-12","2017-01-14",,"","","","","",,,,,
"U Penn MD-PhD Program Interview Day","2017-01-12","2017-01-14",,"","","","","",,,,,
"U Colorado MD-PhD Interview Day","2017-01-12","2017-01-14",,"","","","","",,,,,
"U California, San Diego MD-PhD Interview Day","2017-01-13","2017-01-14",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2017-01-13","2017-01-15",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2017-01-13","2017-01-14",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2017-01-13","2017-01-14",,"","","","","",,,,,
"Medical University South Carolina MD-PhD Interview Day","2017-01-13","2017-01-14",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2017-01-13","2017-01-14",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2017-01-13","2017-01-14",,"","","","","",,,,,
"Penn State MD-PhD Interview Day","2017-01-16","2017-01-17",,"","","","","",,,,,
"The Ohio State University MD-PhD Interview Day","2017-01-17","2017-01-20",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2017-01-18","2017-01-19",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2017-01-18","2017-01-19",,"","","","","",,,,,
"University of Louisville MD-PhD Program Interview Day","2017-01-18","2017-01-20",,"","","","","",,,,,
"U Mass MD-PhD Interview Day","2017-01-19","2017-01-21",,"","","","","",,,,,
"U Penn MD-PhD Program Interview Day","2017-01-19","2017-01-21",,"","","","","",,,,,
"U Colorado MD-PhD Interview Day","2017-01-19","2017-01-21",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2017-01-19","2017-01-22",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2017-01-19","2017-01-21",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2017-01-19","2017-01-21",,"","","","","",,,,,
"University of Wisconsin, Madison Interview Day","2017-01-19","2017-01-22",,"","","","","",,,,,
"Emory MD-PhD Program Interview Days","2017-01-19","2017-01-21",,"","","","","",,,,,
"U Utah MD-PhD Interview Days","2017-01-19","2017-01-22",,"","","","","",,,,,
"University of Southern California MD-PhD Program Interview Day","2017-01-19","2017-01-21",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2017-01-19","2017-01-20",,"","","","","",,,,,
"U Washington MD-PhD Program Interview Day","2017-01-19","2017-01-21",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Day","2017-01-20","2017-01-22",,"","","","","",,,,,
"Stanford MD-PhD Interview Day","2017-01-20","2017-01-22",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2017-01-20","2017-01-21",,"","","","","",,,,,
"U Cincinnati, College of Medicine Interview Day","2017-01-20","2017-01-22",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2017-01-20","2017-01-21",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2017-01-20","2017-01-21",,"","","","","",,,,,
"University North Carolina, Chapel Hill MD-PhD Interview Day","2017-01-21","2017-01-24",,"","","","","",,,,,
"Saint Louis University MD-PhD Interview Day","2017-01-23","2017-01-24",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2017-01-23","2017-01-25",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days (MSTP General & Med Anthro)","2017-01-23","2017-01-25",,"","","","","",,,,,
"U California, San Diego MD-PhD Interview Day","2017-01-25","2017-01-26",,"","","","","",,,,,
"U Chicago MD-PhD Interview Day","2017-01-25","2017-01-26",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2017-01-25","2017-01-26",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2017-01-25","2017-01-27",,"","","","","",,,,,
"Northwestern MD-PhD Interview Day","2017-01-25","2017-01-27",,"","","","","",,,,,
"U Colorado MD-PhD Interview Day","2017-01-26","2017-01-28",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2017-01-26","2017-01-29",,"","","","","",,,,,
"UC Irvine MD-PhD Program Interview Day","2017-01-26","2017-01-27",,"","","","","",,,,,
"Texas A&M HSC MD-PhD Revisit Days","2017-01-26","2017-01-28",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Interview Day","2017-01-26","2017-01-29",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2017-01-26","2017-01-28",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2017-01-27","2017-01-28",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2017-01-27","2017-01-29",,"","","","","",,,,,
"U California, San Diego MD-PhD Interview Day","2017-01-27","2017-01-28",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2017-01-27","2017-01-28",,"","","","","",,,,,
"University North Carolina, Chapel Hill MD-PhD Revisit Day","2017-01-28","2017-01-31",,"","","","","",,,,,
"Saint Louis University MD-PhD Interview Day","2017-01-30","2017-01-31",,"","","","","",,,,,
"Stanford MD-PhD Interview Day","2017-02-01","2017-02-03",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2017-02-02","2017-02-04",,"","","","","",,,,,
"U Washington MD-PhD Program Interview Day","2017-02-02","2017-02-04",,"","","","","",,,,,
"University of Southern California MD-PhD Program Interview Day","2017-02-02","2017-02-04",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2017-02-03","2017-02-04",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Day","2017-02-03","2017-02-05",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2017-02-06","2017-02-08",,"","","","","",,,,,
"Penn State MD-PhD Interview Day (back up date)","2017-02-06","2017-02-07",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2017-02-06","2017-02-08",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2017-02-07","2017-02-09",,"","","","","",,,,,
"The Ohio State University MD-PhD Interview Day","2017-02-07","2017-02-10",,"","","","","",,,,,
"UCLA MD-PhD Interview Day","2017-02-09","2017-02-10",,"","","","","",,,,,
"University of Wisconsin, Madison Interview Day","2017-02-09","2017-02-12",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2017-02-09","2017-02-11",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2017-02-09","2017-02-11",,"","","","","",,,,,
"Emory MD-PhD Program Interview Days","2017-02-09","2017-02-11",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2017-02-09","2017-02-12",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2017-02-13","2017-02-15",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Interview Day","2017-02-13","2017-02-14",,"","","","","",,,,,
"U Maryland MD-PhD Program Interview Days","2017-02-13","2017-02-15",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2017-02-14","2017-02-16",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2017-02-16","2017-02-18",,"","","","","",,,,,
"University of Southern California MD-PhD Program Interview Day","2017-02-16","2017-02-18",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Day","2017-02-17","2017-02-19",,"","","","","",,,,,
"University of Louisville MD-PhD Program Revisit Days","2017-02-17","2017-02-19",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2017-02-22","2017-02-23",,"","","","","",,,,,
"University of Cincinnati MD-PhD Revisit Day","2017-02-23","2017-02-26",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2017-02-23","2017-02-24",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2017-02-23","2017-02-25",,"","","","","",,,,,
"UC Irvine MD-PhD Program Interview Day","2017-02-27","2017-02-28",,"","","","","",,,,,
"Pittsburgh & Carnegie Mellon U MD-PhD Revisit Days","2017-03-02","2017-03-05",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2017-03-02","2017-03-03",,"","","","","",,,,,
"Texas A&M HSC MD-PhD Revisit Days","2017-03-02","2017-03-04",,"","","","","",,,,,
"Indiana U MD-PhD Revisit Day","2017-03-02","2017-03-05",,"","","","","",,,,,
"U Alabama at Birmingham MD-PhD Revisit Day","2017-03-02","2017-03-05",,"","","Birmingham MD-PhD Revisit Day","","",,,,,
"University of Southern California MD-PhD Program Interview Day","2017-03-02","2017-03-04",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Interview Day","2017-03-06","2017-03-07",,"","","","","",,,,,
"LSU New Orleans MD-PhD Program Interview Day","2017-03-09","2017-03-11",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2017-03-09","2017-03-11",,"","","","","",,,,,
"University System of Georgia Revist Day","2017-03-10","2017-03-11",,"","","","","",,,,,
"University of Cincinnati MD-PhD Revisit Day","2017-03-16","2017-03-19",,"","","","","",,,,,
"Duke MD-PhD Revisit Day","2017-03-16","2017-03-20",,"","","","","",,,,,
"U Colorado MD-PhD Revisit Day","2017-03-17","2017-03-19",,"","","","","",,,,,
"UT-Houston/MD Anderson MD-PhD Program Revisit Day","2017-03-22","2017-03-24",,"","","","","",,,,,
"Iowa MD-PhD Program Revisit Day","2017-03-23","2017-03-26",,"","","","","",,,,,
"U Maryland MD-PhD Revisit Day","2017-03-23","2017-03-24",,"","","","","",,,,,
"Emory MD-PhD Program Revisit Days","2017-03-23","2017-03-25",,"","","","","",,,,,
"Tufts MD-PhD Program Revisit Day","2017-03-24","2017-03-25",,"","","","","",,,,,
"UC San Diego MD-PhD Revisit Days","2017-03-29","2017-04-01",,"","","","","",,,,,
"Stony Brook University Revisit Days","2017-03-29","2017-03-31",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Revisit Day","2017-03-30","2017-04-01",,"","","","","",,,,,
"Indiana U MD-PhD Revisit Day","2017-03-30","2017-04-01",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Revisit Day","2017-03-30","2017-04-02",,"","","","","",,,,,
"U Minnesota MD-PhD Revisit Days","2017-03-30","2017-04-01",,"","","","","",,,,,
"Albert Einstein MD-PhD Revisit Day","2017-03-31","2017-04-01",,"","","","","",,,,,
"Hofstra Northwell School of Medicine MD-PhD Program Revisit Day","2017-04-01","2017-04-03",,"","","","","",,,,,
"University North Carolina, Chapel Hill MD-PhD Revisit Day","2017-04-02","2017-04-04",,"","","","","",,,,,
"Johns Hopkins MD-PhD Revisit Day","2017-04-05","2017-04-09",,"","","","","",,,,,
"Mt Sinai MD-PhD Revisit Day","2017-04-06","2017-04-08",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Revisit Day","2017-04-06","2017-04-08",,"","","","","",,,,,
"Wash U St Louis MD-PhD Revisit Day","2017-04-06","2017-04-10",,"","","","","",,,,,
"U Chicago MD-PhD Revisit Day","2017-04-06","2017-04-09",,"","","","","",,,,,
"Stanford MD-PhD Revisit Day","2017-04-06","2017-04-09",,"","","","","",,,,,
"U Rochester MD-PhD Revisit Day","2017-04-06","2017-04-09",,"","","","","",,,,,
"U Utah MD-PhD Revisit Days","2017-04-06","2017-04-09",,"","","","","",,,,,
"Vanderbilt MD-PhD Revisit Day","2017-04-06","2017-04-10",,"","","","","",,,,,
"U Miami MD-PhD Revisit Day","2017-04-06","2017-04-07",,"","","","","",,,,,
